,Region,Census year,Mean rent per person,Cost of living proportion (Youth Allowance),Cost of living proportion (Newstart)
493,Lilydale - Coldstream,2011,97.19906542056074,0.884898848689134,0.7318935550002145
494,Lilydale - Coldstream,2016,119.65981148243358,0.9597317219229768,0.8108734011576654
496,Lynbrook - Lyndhurst,2011,101.1244131455399,0.9016630926565872,0.745759142160155
497,Lynbrook - Lyndhurst,2016,111.3846153846154,0.9279205619567357,0.7839962823885654
499,Lysterfield,2011,94.4855072463768,0.8733098750646031,0.7223083971966683
500,Lysterfield,2016,96.0,0.8687796720933362,0.7340283867615057
502,Macedon,2011,87.11320754716981,0.8418245037248336,0.6962670701065693
503,Macedon,2016,109.24242424242424,0.9196856410803016,0.7770386314671612
505,Malvern - Glen Iris,2011,173.96471564964716,1.212747023914786,1.0030544530188876
506,Malvern - Glen Iris,2016,201.23773006134965,1.273330117290444,1.0758314010242285
508,Malvern East,2011,160.30524252817244,1.154410602298409,0.9548048128865152
509,Malvern East,2016,189.20922288642188,1.2270906371169659,1.0367638536049302
511,Maribyrnong,2011,138.84450651769086,1.062756807677518,0.8789986100942806
512,Maribyrnong,2016,166.16188149053147,1.138493018972962,0.9619080888971109
514,Meadow Heights,2011,80.92127460168697,0.8153802032956949,0.6743951769752277
515,Meadow Heights,2016,95.0625528317836,0.8651759772110005,0.73098363971478
517,Melbourne,2011,263.04357049608353,1.59318202219126,1.3177095390183098
518,Melbourne,2016,278.23004568664345,1.5693007311074767,1.3258957604554986
520,Melbourne Airport,2011,0.0,0.4697843262865684,0.38855528081949836
521,Melbourne Airport,2016,0.0,0.49974051934572433,0.42222871804865375
523,Melton,2011,75.67681347150258,0.7929823338522425,0.6558700581826301
524,Melton,2016,83.57439024390244,0.8210136669187247,0.6936710846208141
526,Melton South,2011,77.62833827893175,0.8013168408239665,0.6627634697242378
527,Melton South,2016,89.90922259777885,0.8453657623840655,0.7142460703425862
529,Melton West,2011,78.20668058455114,0.8037868058276794,0.6648063602421445
530,Melton West,2016,83.76846153846154,0.8217597076074405,0.694301411343212
532,Mentone,2011,140.51563636363636,1.069893813212199,0.8849015766995278
533,Mentone,2016,170.87864911276475,1.1566250182127154,0.9772277407930259
535,Mernda,2011,99.1945945945946,0.8934212880401221,0.7389424040783984
