Region,Census year,Total,Mean rent per person
Moonee Ponds,2016,1844,171.9663774403471
Moorabbin - Heatherton,2006,479,84.8705636743215
Moorabbin - Heatherton,2011,570,127.83508771929824
Moorabbin - Heatherton,2016,755,154.99867549668875
Moorabbin Airport,2006,0,0.0
Moorabbin Airport,2011,0,0.0
Moorabbin Airport,2016,0,0.0
Mooroolbark,2006,1017,66.51720747295968
Mooroolbark,2011,1146,92.65095986038395
Mooroolbark,2016,1291,106.69326103795507
Mordialloc - Parkdale,2006,1629,89.28913443830571
Mordialloc - Parkdale,2011,1777,128.02363534046145
Mordialloc - Parkdale,2016,1887,153.9406465288818
Mornington,2006,1956,68.44120654396728
Mornington,2011,2071,98.91549975857075
Mornington,2016,2096,121.67175572519083
Mount Dandenong - Olinda,2006,252,65.66666666666666
Mount Dandenong - Olinda,2011,295,94.84745762711864
Mount Dandenong - Olinda,2016,295,110.42033898305085
Mount Eliza,2006,464,82.62931034482759
Mount Eliza,2011,455,122.19560439560439
Mount Eliza,2016,497,147.77062374245475
Mount Evelyn,2006,263,59.10266159695817
Mount Evelyn,2011,295,88.79322033898305
Mount Evelyn,2016,226,93.17256637168141
Mount Martha,2006,656,77.07926829268293
Mount Martha,2011,707,109.8005657708628
Mount Martha,2016,792,130.9090909090909
Mount Waverley - North,2006,805,83.49440993788821
Mount Waverley - North,2011,987,122.07902735562311
Mount Waverley - North,2016,1169,139.05389221556885
Mount Waverley - South,2006,1048,84.60496183206106
Mount Waverley - South,2011,1168,118.32191780821918
Mount Waverley - South,2016,1356,142.61209439528022
Mulgrave,2006,807,72.03841387856258
Mulgrave,2011,1069,101.22076707202993
Mulgrave,2016,1260,118.92857142857143
Murrumbeena,2006,1088,105.20404411764706
Murrumbeena,2011,1204,158.72425249169436
Murrumbeena,2016,1277,188.2075176194205
Narre Warren - North East,2006,627,62.740031897926634
Narre Warren - North East,2011,703,89.02275960170698
Narre Warren - North East,2016,759,101.16205533596838
Narre Warren - South West,2006,952,65.0126050420168
Narre Warren - South West,2011,1043,91.15340364333653
Narre Warren - South West,2016,1273,103.66928515318146
Narre Warren North,2006,39,54.0
Narre Warren North,2011,68,96.0
Narre Warren North,2016,68,106.04411764705883
