children_wh_valid_scores_count_2018, development_at_risk_count_2018, development_at_risk_perc_2018, development_at_risk_count_2015, development_at_risk_perc_2012, development_vulnerable_perc_2009, development_at_risk_perc_2015, development_on_track_perc_2009, development_at_risk_count_2012, development_on_track_count_2012, name, development_on_track_count_2009, development_vulnerable_count_2009, children_wh_valid_scores_count_2009, development_vulnerable_perc_2015, development_vulnerable_perc_2018, development_at_risk_count_2009, code, development_vulnerable_perc_2012, development_at_risk_perc_2009, development_on_track_count_2015, development_vulnerable_count_2015, development_vulnerable_count_2012, development_on_track_count_2018, children_wh_valid_scores_count_2012, sa2_main16, development_on_track_perc_2012, children_wh_valid_scores_count_2015, development_on_track_perc_2015, development_vulnerable_count_2018, development_on_track_perc_2018
457,44,9.628009,41,16.216217,10.714286,15.530303,76.78571,18,82,"Point Cook - South",43,6,56,9.848485,6.78337,7,"21466",9.90991,12.5,197,26,11,382,111,"213051466",73.87387,264,74.621216,31,83.58862
382,46,12.041884,50,26.16279,31.578947,20.920502,43.42105,45,97,"Cranbourne West",33,24,76,12.133891,9.424084,19,"21304",17.44186,25.0,160,29,30,300,172,"212031304",56.395348,239,66.94561,36,78.534035
225,38,16.88889,47,16.666666,11.428572,18.951612,68.09524,46,193,"Mildura - North",143,24,210,7.2580647,8.888889,43,"21469",13.405797,20.47619,183,18,37,167,276,"215021469",69.927536,248,73.79032,20,74.22222
30,2,6.6666665,3,27.450981,12.5,6.521739,62.5,14,31,"Mildura Region",30,6,48,10.869565,6.6666665,12,"21398",11.764706,25.0,38,5,6,26,51,"215021398",60.784313,46,82.608696,2,86.666664
74,22,29.72973,11,12.698413,8.77193,13.414634,80.70175,8,51,"Red Cliffs",46,5,57,2.4390244,6.756757,6,"21399",6.3492064,10.526316,69,2,4,47,63,"215021399",80.95238,82,84.14634,5,63.51351
132,14,10.606061,9,9.67742,3.488372,6.818182,83.72093,12,108,"Blackburn South",72,3,86,3.030303,2.2727273,11,"21162",3.2258065,12.790698,119,4,4,115,124,"207031162",87.09677,132,90.15151,3,87.121216
91,8,8.791209,19,25.252525,2.857143,17.75701,85.71429,25,65,"Flora Hill - Spring Gully",60,2,70,13.084112,6.5934067,8,"21021",9.090909,11.428572,74,14,9,77,99,"202011021",65.65656,107,69.15888,6,84.61539
237,35,14.767933,40,13.571428,6.756757,19.607843,72.52252,38,218,"Kangaroo Flat - Golden Square",161,15,222,12.254902,7.594937,46,"21022",8.571428,20.72072,139,25,24,184,280,"202011022",77.85714,204,68.13725,18,77.63713
97,8,8.247422,7,18.556702,7.6923075,8.235294,71.15385,18,78,"Maiden Gully",37,4,52,4.7058825,3.0927835,11,"21023",1.0309278,21.153847,74,4,1,86,97,"202011023",80.41237,85,87.05882,3,88.65979
155,22,14.193548,11,15.853659,7.6923075,7.6923075,73.07692,13,68,"Strathfieldsaye",57,6,78,3.4965036,1.9354838,15,"21024",1.2195122,19.23077,127,5,1,130,82,"202011024",82.92683,143,88.81119,3,83.870964
115,3,2.6086957,4,3.6697247,4.032258,4.040404,75.0,4,103,"Surrey Hills (East) - Mont Albert",93,5,124,4.040404,2.6086957,26,"21167",1.8348624,20.967741,91,4,2,109,109,"207031167",94.495415,99,91.91919,3,94.78261
199,13,6.5326633,11,5.820106,2.484472,5.4726367,90.06211,11,174,"Brighton East",145,4,161,3.482587,2.5125628,12,"21170",2.1164021,7.4534163,183,7,4,181,189,"208011170",92.06349,201,91.04478,5,90.95477
203,22,10.837439,12,11.023623,1.8018018,7.4074073,86.48649,14,101,"White Hills - Ascot",96,2,111,9.876543,6.8965516,13,"21025",9.448819,11.711712,134,16,12,167,127,"202011025",79.52756,162,82.71605,14,82.26601
100,11,11.0,12,12.5,5.5555553,12.765958,87.03704,10,65,"Bendigo Region - South",47,3,54,6.382979,3.0,4,"21026",6.25,7.4074073,76,6,5,86,80,"202021026",81.25,94,80.85107,3,86.0
173,28,16.18497,23,20.430107,6.206897,12.299465,83.44827,38,128,"Kilmore - Broadford",121,9,145,7.486631,2.3121388,15,"21056",10.752688,10.344828,150,14,20,141,186,"204011056",68.81721,187,80.213905,4,81.50289
82,9,10.97561,13,5.7471266,0.0,13.684211,94.33962,5,77,"Mansfield (Vic.)",50,0,53,5.263158,0.0,3,"21057",5.7471266,5.6603775,77,5,5,73,87,"204011057",88.505745,95,81.052635,0,89.02439
35,4,11.428572,4,6.122449,18.181818,11.764706,60.60606,3,45,"Nagambie",20,6,33,5.882353,0.0,7,"21058",2.0408163,21.212122,28,2,1,31,49,"204011058",91.83673,34,82.35294,0,88.57143
78,11,14.102564,16,15.384615,4.597701,29.62963,87.35632,10,43,"Seymour",76,4,87,18.518518,11.538462,7,"21059",18.461538,8.045977,28,10,12,58,65,"204011059",66.15385,54,51.851852,9,74.35897
34,5,14.705882,10,25.0,23.076923,22.222221,53.846153,9,19,"Yea",14,6,26,11.111111,2.9411764,6,"21062",22.222221,23.076923,30,5,8,28,36,"204011062",52.77778,45,66.666664,1,82.35294
90,8,8.888889,18,24.42748,7.9365077,15.789474,80.15873,32,82,"Benalla",101,10,126,10.526316,6.6666665,15,"21063",12.977099,11.904762,84,12,17,76,131,"204021063",62.59542,114,73.68421,6,84.44444
29,4,13.793103,3,21.621622,6.25,8.1081085,87.5,8,25,"Benalla Region",14,1,16,5.4054055,6.8965516,1,"21064",10.810811,6.25,32,2,4,23,37,"204021064",67.567566,37,86.48649,2,79.31035
37,4,10.810811,1,33.92857,2.0,2.631579,90.0,19,35,"Rutherglen",45,1,50,2.631579,10.810811,4,"21065",3.5714285,8.0,36,1,2,29,56,"204021065",62.5,38,94.73684,4,78.37838
220,29,13.181818,27,9.90991,6.818182,12.107623,79.545456,22,192,"Wangaratta",175,15,220,11.659193,1.8181819,30,"21066",3.6036036,13.636364,170,26,8,187,222,"204021066",86.48649,223,76.233185,4,85.0
