Abbotsford,{'15 - 19': [88, 212.23863636363637], '20 - 24': [602, 679.7308970099667], '25 - 29': [1449, 1169.463768115942], '30 - 34': [1314, 1535.20700152207], '35 - 39': [699, 1656.8254649499286], '40 - 44': [420, 1669.5], '45 - 49': [338, 1458.0384615384614], '50 - 54': [328, 1518.4756097560976], '55 - 59': [265, 1444.143396226415], '60 - 64': [241, 1172.8257261410788], '65 - 69': [217, 961.9585253456221], '70 - 74': [144, 798.8611111111111], '75 - 79': [68, 641.8676470588235], '80 - 84': [75, 628.28]}
Carlton North - Princes Hill,{'15 - 19': [129, 241.65116279069767], '20 - 24': [771, 566.0869001297017], '25 - 29': [1142, 1069.3642732049036], '30 - 34': [917, 1405.473282442748], '35 - 39': [576, 1590.9166666666667], '40 - 44': [455, 1721.876923076923], '45 - 49': [429, 1711.5221445221446], '50 - 54': [374, 1644.8395721925133], '55 - 59': [366, 1634.9344262295083], '60 - 64': [313, 1451.2811501597444], '65 - 69': [358, 1332.608938547486], '70 - 74': [259, 972.5135135135135], '75 - 79': [133, 896.203007518797], '80 - 84': [103, 554.3203883495146]}
Collingwood,{'15 - 19': [108, 252.47222222222223], '20 - 24': [541, 655.9316081330869], '25 - 29': [1342, 1170.9180327868853], '30 - 34': [1170, 1442.263247863248], '35 - 39': [759, 1522.391304347826], '40 - 44': [477, 1397.9140461215934], '45 - 49': [397, 1367.8060453400503], '50 - 54': [312, 1365.7083333333333], '55 - 59': [292, 1094.2054794520548], '60 - 64': [202, 1102.6881188118812], '65 - 69': [151, 824.7086092715232], '70 - 74': [125, 580.76], '75 - 79': [55, 417.05454545454546], '80 - 84': [44, 352.1818181818182]}
Fitzroy,{'15 - 19': [118, 266.9237288135593], '20 - 24': [653, 586.3292496171516], '25 - 29': [1377, 1133.4313725490197], '30 - 34': [1191, 1459.3165407220822], '35 - 39': [818, 1588.3691931540343], '40 - 44': [584, 1458.8082191780823], '45 - 49': [507, 1495.3076923076924], '50 - 54': [461, 1479.1366594360086], '55 - 59': [417, 1334.2086330935251], '60 - 64': [342, 1142.6608187134502], '65 - 69': [256, 1075.05078125], '70 - 74': [184, 827.6684782608696], '75 - 79': [143, 605.2937062937064], '80 - 84': [111, 433.9189189189189]}
Fitzroy North,{'15 - 19': [172, 177.69767441860466], '20 - 24': [695, 526.7410071942446], '25 - 29': [1421, 1088.7030260380013], '30 - 34': [1304, 1411.5705521472394], '35 - 39': [990, 1696.6757575757576], '40 - 44': [767, 1717.5136897001303], '45 - 49': [710, 1666.4901408450705], '50 - 54': [582, 1642.7800687285223], '55 - 59': [597, 1487.6984924623116], '60 - 64': [510, 1299.362745098039], '65 - 69': [444, 1033.0135135135135], '70 - 74': [312, 871.5384615384615], '75 - 79': [252, 639.1309523809524], '80 - 84': [162, 440.64814814814815]}
Richmond (Vic.),{'15 - 19': [431, 265.9373549883991], '20 - 24': [2013, 714.3537009438649], '25 - 29': [4742, 1257.9531843104176], '30 - 34': [4165, 1643.418487394958], '35 - 39': [2508, 1727.5598086124403], '40 - 44': [1804, 1715.4273835920178], '45 - 49': [1618, 1586.620519159456], '50 - 54': [1262, 1492.0586370839937], '55 - 59': [1192, 1305.3213087248323], '60 - 64': [996, 1128.1475903614457], '65 - 69': [871, 1008.9425947187141], '70 - 74': [558, 741.6881720430108], '75 - 79': [456, 571.6074561403509], '80 - 84': [347, 553.1210374639769]}
Yarra - North,{'15 - 19': [161, 172.06211180124222], '20 - 24': [434, 550.0967741935484], '25 - 29': [824, 1103.2427184466019], '30 - 34': [824, 1450.868932038835], '35 - 39': [695, 1680.6460431654675], '40 - 44': [643, 1700.573872472784], '45 - 49': [569, 1776.377855887522], '50 - 54': [521, 1673.3282149712093], '55 - 59': [471, 1617.7133757961783], '60 - 64': [415, 1298.0], '65 - 69': [363, 1118.2176308539945], '70 - 74': [216, 1022.7638888888889], '75 - 79': [134, 570.1194029850747], '80 - 84': [81, 534.9506172839506]}
Ashburton (Vic.),{'15 - 19': [208, 151.28846153846155], '20 - 24': [371, 494.2425876010782], '25 - 29': [323, 944.359133126935], '30 - 34': [357, 1475.2240896358544], '35 - 39': [431, 1716.1461716937356], '40 - 44': [544, 1867.75], '45 - 49': [595, 1777.964705882353], '50 - 54': [503, 1631.3817097415506], '55 - 59': [477, 1486.5052410901467], '60 - 64': [359, 1127.7186629526461], '65 - 69': [249, 814.2128514056225], '70 - 74': [194, 766.2164948453608], '75 - 79': [188, 594.9308510638298], '80 - 84': [102, 513.6764705882352]}
Balwyn,{'15 - 19': [419, 170.25536992840097], '20 - 24': [889, 536.8571428571429], '25 - 29': [744, 986.3037634408602], '30 - 34': [610, 1253.655737704918], '35 - 39': [619, 1429.956381260097], '40 - 44': [798, 1561.6052631578948], '45 - 49': [1012, 1665.6600790513835], '50 - 54': [996, 1573.1024096385543], '55 - 59': [908, 1576.4977973568282], '60 - 64': [805, 1349.927950310559], '65 - 69': [696, 1154.4252873563219], '70 - 74': [596, 1045.5771812080536], '75 - 79': [456, 927.75], '80 - 84': [380, 874.5052631578948]}
Balwyn North,{'15 - 19': [616, 153.5568181818182], '20 - 24': [1099, 502.3284804367607], '25 - 29': [830, 1002.644578313253], '30 - 34': [614, 1244.6221498371335], '35 - 39': [742, 1538.1913746630728], '40 - 44': [1161, 1537.8492678725238], '45 - 49': [1475, 1538.1972881355932], '50 - 54': [1492, 1527.7225201072386], '55 - 59': [1242, 1408.3977455716586], '60 - 64': [874, 1291.5286041189931], '65 - 69': [805, 1119.5540372670807], '70 - 74': [586, 978.0341296928327], '75 - 79': [483, 787.1987577639752], '80 - 84': [409, 801.2102689486553]}
